城市,日期,最高温,最低温,天气,风力风向,空气质量指数
北京,2020-08-19 周三,26°,19°,阴~多云,东北风2级,26 优
北京,2020-08-20 周四,26°,17°,小雨~多云,东南风2级,35 优
北京,2020-08-21 周五,28°,17°,晴,南风2级,46 优
北京,2020-08-22 周六,28°,19°,多云,西南风2级,62 良
北京,2020-08-23 周日,28°,21°,多云~暴雨,南风2级,77 良
北京,2020-08-24 周一,33°,20°,阴~晴,西北风2级,35 优
北京,2020-08-25 周二,34°,22°,阴~晴,东南风2级,54 良
北京,2020-08-26 周三,28°,22°,多云,东南风2级,94 良
北京,2020-08-27 周四,32°,19°,多云,东南风2级,84 良
北京,2020-08-28 周五,30°,22°,晴~多云,东南风2级,44 优
北京,2020-08-29 周六,30°,23°,多云~阴,东南风2级,72 良
北京,2020-08-30 周日,30°,22°,阴~雷阵雨,东南风2级,71 良
北京,2020-08-31 周一,26°,18°,阴~晴,西北风2级,36 优
北京,2020-09-01 周二,33°,20°,阴~多云,西北风2级,33 优
北京,2020-09-02 周三,29°,19°,多云,西北风3级,33 优
北京,2020-09-03 周四,28°,16°,多云~晴,西北风3级,21 优
北京,2020-09-04 周五,30°,17°,多云~雷阵雨,西南风2级,45 优
北京,2020-09-05 周六,30°,19°,多云~晴,东南风2级,60 良
北京,2020-09-06 周日,30°,20°,多云~雷阵雨,东南风2级,99 良
北京,2020-09-07 周一,31°,21°,晴~多云,东北风2级,37 优
北京,2020-09-08 周二,31°,19°,多云,西北风2级,25 优
北京,2020-09-09 周三,31°,18°,晴~多云,西北风2级,28 优
北京,2020-09-10 周四,26°,18°,小雨~阴,北风3级,24 优
北京,2020-09-11 周五,26°,19°,多云~小雨,东北风2级,19 优
北京,2020-09-12 周六,26°,18°,多云~小雨,东北风2级,22 优
北京,2020-09-13 周日,27°,19°,多云~小雨,东南风2级,40 优
北京,2020-09-14 周一,25°,19°,小雨~中雨,西南风2级,58 良
北京,2020-09-15 周二,23°,17°,小雨~晴,东南风2级,49 优
北京,2020-09-16 周三,26°,15°,晴,西北风3级,21 优
北京,2020-09-17 周四,27°,13°,晴,西北风3级,22 优
北京,2020-09-18 周五,28°,12°,晴,西北风2级,32 优
北京,2020-09-19 周六,29°,14°,晴,东北风1级,40 优
北京,2020-09-20 周日,26°,15°,晴~多云,东南风2级,34 优
北京,2020-09-21 周一,26°,16°,阴~多云,南风2级,63 良
北京,2020-09-22 周二,26°,16°,多云~阴,东北风2级,46 优
北京,2020-09-23 周三,18°,16°,大雨~小雨,东北风2级,58 良
北京,2020-09-24 周四,24°,13°,多云,东风2级,47 优
北京,2020-09-25 周五,25°,14°,阴~晴,东南风1级,58 良
北京,2020-09-26 周六,25°,14°,晴,南风2级,75 良
北京,2020-09-27 周日,26°,14°,晴~多云,南风2级,87 良
北京,2020-09-28 周一,25°,14°,多云~中雨,南风2级,108 轻度
北京,2020-09-29 周二,19°,9°,小雨~晴,东北风2级,26 优
北京,2020-09-30 周三,20°,13°,晴~小雨,南风2级,33 优
北京,2020-10-01 周四,20°,14°,阴~晴,南风2级,61 良
北京,2020-10-02 周五,21°,8°,晴,西北风3级,30 优
北京,2020-10-03 周六,22°,9°,多云~晴,西风3级,40 优
北京,2020-10-04 周日,18°,8°,晴,西北风4级,27 优
北京,2020-10-05 周一,19°,6°,晴,西北风2级,23 优
北京,2020-10-06 周二,21°,10°,晴~多云,西南风1级,51 良
北京,2020-10-07 周三,22°,9°,阴~晴,南风2级,80 良
北京,2020-10-08 周四,18°,11°,多云~阴,南风2级,110 轻度
北京,2020-10-09 周五,21°,10°,阴~晴,南风1级,140 轻度
北京,2020-10-10 周六,23°,12°,多云~阴,南风2级,181 中度
北京,2020-10-11 周日,19°,7°,多云,北风3级,72 良
北京,2020-10-12 周一,18°,6°,晴,西南风2级,28 优
北京,2020-10-13 周二,21°,7°,多云,北风3级,41 优
北京,2020-10-14 周三,13°,5°,阴~晴,东南风2级,32 优
北京,2020-10-15 周四,18°,8°,晴~多云,东北风1级,79 良
北京,2020-10-16 周五,19°,4°,多云~晴,西北风3级,37 优
北京,2020-10-17 周六,22°,7°,晴,西南风2级,45 优
北京,2020-10-18 周日,21°,5°,晴,东北风2级,56 良
北京,2020-10-19 周一,21°,7°,晴~多云,南风1级,82 良
北京,2020-10-20 周二,17°,8°,阴~多云,西南风1级,157 中度
北京,2020-10-21 周三,16°,3°,晴,西北风3级,121 轻度
北京,2020-10-22 周四,15°,3°,晴,西北风3级,57 良
北京,2020-10-23 周五,18°,3°,晴,西北风2级,32 优
北京,2020-10-24 周六,20°,7°,晴~多云,西南风1级,61 良
北京,2020-10-25 周日,19°,7°,阴~多云,东北风1级,111 轻度
北京,2020-10-26 周一,21°,7°,多云~晴,西北风2级,127 轻度
北京,2020-10-27 周二,17°,5°,多云~晴,北风2级,47 优
北京,2020-10-28 周三,18°,5°,阴~多云,北风2级,45 优
北京,2020-10-29 周四,19°,3°,阴~晴,西北风1级,65 良
北京,2020-10-30 周五,17°,8°,晴~阴,南风2级,72 良
北京,2020-10-31 周六,19°,6°,浮尘~晴,西北风3级,154 中度
北京,2020-11-01 周日,17°,4°,晴,西北风3级,53 良
北京,2020-11-02 周一,12°,0°,晴,西北风3级,45 优
北京,2020-11-03 周二,14°,0°,晴,西北风2级,33 优
北京,2020-11-04 周三,15°,2°,晴,北风1级,65 良
北京,2020-11-05 周四,15°,4°,多云,东北风1级,116 轻度
北京,2020-11-06 周五,18°,4°,晴,西北风2级,118 轻度
北京,2020-11-07 周六,19°,2°,晴,西北风3级,95 良
北京,2020-11-08 周日,15°,1°,晴,西北风2级,41 优
北京,2020-11-09 周一,16°,2°,晴,西北风2级,52 良
北京,2020-11-10 周二,18°,2°,晴,东北风1级,68 良
北京,2020-11-11 周三,14°,4°,多云~晴,东北风1级,141 轻度
北京,2020-11-12 周四,20°,4°,多云~晴,北风2级,124 轻度
北京,2020-11-13 周五,16°,4°,晴~多云,东风2级,48 优
北京,2020-11-14 周六,12°,4°,阴~多云,东风1级,74 良
北京,2020-11-15 周日,16°,5°,多云,东北风1级,107 轻度
北京,2020-11-16 周一,13°,8°,阴~小雨,东风1级,133 轻度
北京,2020-11-17 周二,10°,8°,阴~小雨,东北风1级,140 轻度
北京,2020-11-18 周三,11°,4°,大雨~小雨,东北风2级,63 良
北京,2020-11-19 周四,9°,-2°,阴~多云,东北风2级,16 优
北京,2020-11-20 周五,8°,-1°,晴~小雪,东北风2级,21 优
北京,2020-11-21 周六,2°,-2°,雨夹雪~多云,东北风1级,49 优
北京,2020-11-22 周日,3°,-5°,晴,西北风3级,16 优
北京,2020-11-23 周一,6°,-3°,晴~多云,西北风2级,31 优
北京,2020-11-24 周二,7°,-4°,阴~晴,西北风1级,48 优
北京,2020-11-25 周三,6°,-4°,多云,东北风2级,50 优
北京,2020-11-26 周四,5°,-4°,多云~晴,东南风1级,36 优
北京,2020-11-27 周五,5°,-3°,晴,西北风3级,28 优
北京,2020-11-28 周六,3°,-5°,阴~多云,北风2级,27 优
北京,2020-11-29 周日,5°,-4°,晴,西北风2级,33 优
北京,2020-11-30 周一,4°,-6°,多云~晴,北风2级,36 优
北京,2020-12-01 周二,3°,-4°,多云~阴,东北风1级,42 优
北京,2020-12-02 周三,3°,-4°,阴~晴,西北风2级,36 优
北京,2020-12-03 周四,4°,-4°,晴,西北风3级,21 优
北京,2020-12-04 周五,4°,-6°,晴,西北风3级,22 优
北京,2020-12-05 周六,4°,-5°,晴,西北风1级,39 优
北京,2020-12-06 周日,6°,-4°,晴,西北风3级,59 良
北京,2020-12-07 周一,1°,-7°,晴,西北风3级,26 优
北京,2020-12-08 周二,2°,-6°,晴~多云,西北风1级,39 优
北京,2020-12-09 周三,3°,-5°,多云~晴,东北风1级,71 良
北京,2020-12-10 周四,7°,-4°,晴,西北风1级,87 良
北京,2020-12-11 周五,6°,-6°,晴,北风2级,50 优
北京,2020-12-12 周六,2°,-6°,晴,西北风2级,102 轻度
北京,2020-12-13 周日,-2°,-9°,晴,西北风3级,29 优
北京,2020-12-14 周一,0°,-9°,晴,西北风2级,25 优
北京,2020-12-15 周二,0°,-8°,晴,北风1级,38 优
北京,2020-12-16 周三,1°,-9°,晴,西北风2级,44 优
北京,2020-12-17 周四,3°,-6°,晴,西北风2级,66 良
北京,2020-12-18 周五,0°,-9°,晴,北风3级,31 优
北京,2020-12-19 周六,3°,-6°,晴,北风1级,45 优
北京,2020-12-20 周日,5°,-7°,晴,北风2级,46 优
北京,2020-12-21 周一,5°,-8°,晴,北风1级,56 良
北京,2020-12-22 周二,6°,-6°,晴~多云,东北风1级,76 良
北京,2020-12-23 周三,7°,-5°,晴,西北风3级,93 良
北京,2020-12-24 周四,4°,-7°,晴,西北风3级,51 良
北京,2020-12-25 周五,7°,-7°,晴,北风1级,67 良
北京,2020-12-26 周六,3°,-6°,多云~晴,东北风1级,75 良
北京,2020-12-27 周日,7°,-5°,晴~多云,东北风1级,85 良
北京,2020-12-28 周一,2°,-10°,阴~多云,东北风2级,83 良
北京,2020-12-29 周二,-8°,-13°,多云~晴,西北风4级,56 良
北京,2020-12-30 周三,-5°,-13°,晴,西北风3级,26 优
北京,2020-12-31 周四,0°,-11°,晴,西北风2级,31 优
北京,2021-01-01 周五,1°,-11°,晴,东北风1级,54 良
北京,2021-01-02 周六,0°,-9°,晴~多云,东北风1级,78 良
北京,2021-01-03 周日,-1°,-8°,多云,东北风1级,31 优
北京,2021-01-04 周一,0°,-11°,多云~晴,西北风3级,36 优
北京,2021-01-05 周二,-2°,-11°,晴,西北风2级,32 优
北京,2021-01-06 周三,0°,-19°,多云~晴,西北风4级,64 良
北京,2021-01-07 周四,-7°,-14°,晴,西北风3级,34 优
北京,2021-01-08 周五,-2°,-10°,晴,西北风3级,31 优
北京,2021-01-09 周六,1°,-8°,晴,西北风2级,41 优
北京,2021-01-10 周日,1°,-7°,多云,西北风2级,26 优
北京,2021-01-11 周一,2°,-8°,多云,西北风2级,57 良
北京,2021-01-12 周二,4°,-6°,晴~多云,北风1级,99 良
北京,2021-01-13 周三,8°,-6°,晴~多云,北风2级,177 中度
北京,2021-01-14 周四,2°,-4°,阴~多云,东北风2级,81 良
北京,2021-01-15 周五,3°,-8°,晴,北风3级,75 良
北京,2021-01-16 周六,0°,-8°,晴,西北风3级,30 优
北京,2021-01-17 周日,3°,-7°,晴,西风2级,49 优
北京,2021-01-18 周一,4°,-6°,晴~阴,东北风2级,63 良
北京,2021-01-19 周二,-3°,-8°,阴~多云,东北风2级,48 优
北京,2021-01-20 周三,1°,-5°,晴~多云,西北风1级,71 良
北京,2021-01-21 周四,5°,-5°,阴~晴,西北风1级,109 轻度
北京,2021-01-22 周五,5°,-7°,晴~多云,东北风1级,114 轻度
北京,2021-01-23 周六,3°,-6°,多云,西南风1级,103 轻度
北京,2021-01-24 周日,5°,-5°,晴~多云,东北风1级,139 轻度
北京,2021-01-25 周一,1°,-6°,雨夹雪~雾,西风1级,176 中度
北京,2021-01-26 周二,6°,-7°,阴~多云,西北风2级,117 轻度
北京,2021-01-27 周三,3°,-6°,阴~多云,北风2级,63 良
北京,2021-01-28 周四,-1°,-9°,晴,西北风微风,49 优
北京,2021-01-29 周五,0°,-8°,晴,东北风1级,52 良
北京,2021-01-30 周六,7°,-7°,晴,东南风1级,68 良
北京,2021-01-31 周日,0°,-5°,多云~晴,东北风1级,90 良
北京,2021-02-01 周一,2°,-10°,晴,西北风3级,51 良
